Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"M&M","556.70","559.90","548.65","551.10","-2.95","-0.53","10.86","60.03","993.00","502.55","-43.56","-0.37"
"BPCL","342.00","344.30","339.05","340.30","-2.00","-0.58","6.17","21.06","421.70","238.55","-5.88","-0.56"
"HDFCBANK","2,250.00","2,257.35","2,242.10","2,246.60","-13.35","-0.59","7.72","173.57","2,503.30","1,885.00","7.99","0.10"
"ICICIBANK","418.00","418.25","415.10","415.30","-3.30","-0.79","22.33","93.07","443.90","294.80","22.18","-3.27"
"TITAN","1,129.00","1,131.50","1,111.50","1,114.50","-9.20","-0.82","5.14","57.63","1,340.90","732.30","25.10","3.30"
"INDUSINDBK","1,379.00","1,386.00","1,364.20","1,374.60","-11.50","-0.83","10.21","140.29","1,968.65","1,267.25","-29.56","-4.03"
"COALINDIA","189.00","191.80","186.60","190.10","-1.75","-0.91","21.91","41.64","299.75","177.70","-35.15","-7.45"
"GRASIM","725.45","732.70","716.50","717.00","-6.95","-0.96","3.08","22.30","1,093.00","680.05","-33.52","-9.88"
"HEROMOTOCO","2,597.75","2,626.00","2,585.05","2,588.90","-25.55","-0.98","2.00","52.11","3,380.00","2,225.60","-19.69","7.67"
"BAJFINANCE","3,348.80","3,362.65","3,315.70","3,322.25","-35.50","-1.06","3.90","130.20","3,762.00","1,912.20","12.59","2.14"
"BHARTIARTL","349.50","349.50","343.30","343.80","-4.50","-1.29","9.79","33.87","378.75","253.99","-9.32","2.76"
"ONGC","125.05","125.95","123.80","123.95","-1.65","-1.31","14.78","18.44","185.40","115.75","-29.59","-11.69"
"MARUTI","6,248.00","6,248.00","6,170.00","6,189.75","-88.00","-1.40","2.73","169.38","9,468.30","5,446.05","-33.05","11.30"
"KOTAKBANK","1,499.20","1,501.00","1,480.00","1,480.30","-21.25","-1.42","6.32","94.05","1,555.90","1,002.20","16.11","-1.48"
"HINDALCO","181.50","182.00","178.25","178.50","-2.70","-1.49","14.10","25.35","259.75","171.10","-22.48","-7.63"
"BAJAJFINSV","7,107.00","7,140.00","7,003.00","7,010.00","-116.50","-1.63","1.17","82.68","8,580.00","4,955.00","-0.29","-1.56"
"HINDUNILVR","1,835.00","1,848.40","1,821.00","1,829.00","-32.40","-1.74","10.38","190.36","1,889.00","1,477.20","2.05","6.75"
"VEDL","138.10","138.45","135.35","135.60","-2.50","-1.81","16.22","22.21","246.90","125.30","-39.87","-12.88"
"JSWSTEEL","214.00","214.25","208.50","208.95","-4.45","-2.09","20.31","42.80","427.55","206.30","-41.24","-13.44"
"IBULHSGFIN","465.05","473.35","457.50","461.30","-10.20","-2.16","61.95","287.37","1,298.80","425.50","-64.06","-17.58"
"TATASTEEL","350.90","350.90","341.35","342.55","-8.35","-2.38","26.51","91.43","647.60","322.20","-41.06","-20.97"
"YESBANK","64.50","65.15","62.30","62.60","-1.90","-2.95","452.67","289.62","386.00","53.20","-83.66","-33.93"

