Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,101.30","11,129.65","11,060.80","11,065.45","-39.90","-0.36","1,228.32","3,915.40","12,103.05","10,004.55","-5.36","-1.11"
"HCLTECH","1,097.00","1,121.40","1,092.30","1,120.75","27.65","2.53","8.32","92.68","1,187.60","920.00","7.87","10.37"
"TATAMOTORS","120.55","124.00","119.00","122.20","1.85","1.54","211.37","258.59","282.00","106.20","-52.78","-11.16"
"CIPLA","465.80","476.20","465.80","471.25","5.90","1.27","6.42","30.40","678.45","449.20","-28.56","-9.77"
"TECHM","676.00","685.35","676.00","683.85","7.50","1.11","3.00","20.49","846.50","607.15","-7.33","5.81"
"GAIL","130.80","133.60","130.45","131.65","1.45","1.11","38.76","51.29","197.43","119.50","-65.66","0.19"
"BAJAJ-AUTO","2,760.00","2,813.95","2,750.55","2,797.00","30.50","1.10","1.79","50.17","3,149.95","2,420.00","3.68","12.44"
"INFY","787.40","792.80","786.30","792.65","8.00","1.02","10.79","85.23","809.95","599.85","-44.00","0.15"
"ZEEL","362.00","369.95","360.80","367.20","3.45","0.95","10.46","38.38","518.40","288.30","-28.17","-5.15"
"POWERGRID","207.95","211.25","207.05","208.35","1.80","0.87","30.22","63.27","216.25","172.50","5.33","0.22"
"BRITANNIA","2,700.00","2,722.20","2,672.05","2,707.55","21.65","0.81","2.67","72.39","3,430.00","2,300.00","-60.21","1.32"
"EICHERMOT","15,999.80","16,246.15","15,825.25","16,088.40","93.00","0.58","0.41","65.90","29,800.00","15,200.00","-44.49","-1.83"
"WIPRO","250.10","253.20","250.10","251.45","1.35","0.54","5.97","15.05","301.60","218.29","-15.01","-4.17"
"NTPC","123.80","124.70","122.80","123.75","0.55","0.45","20.52","25.40","146.17","106.67","-25.52","-2.79"
"INFRATEL","245.95","247.50","244.40","246.00","0.95","0.39","2.02","4.98","335.00","238.70","-14.60","-4.09"
"SUNPHARMA","416.90","421.70","416.10","418.20","1.45","0.35","9.48","39.78","679.30","344.55","-32.74","-2.98"
"ITC","246.15","247.65","245.55","246.05","0.55","0.22","17.92","44.21","322.95","234.65","-21.49","-8.10"
"UPL","559.00","571.50","556.45","557.05","1.05","0.19","13.86","78.28","709.05","388.10","-15.55","-4.70"
"AXISBANK","685.10","689.35","682.05","683.75","0.80","0.12","12.01","82.45","827.75","534.55","5.16","-5.07"
"TCS","2,240.00","2,252.15","2,233.90","2,234.80","-1.70","-0.08","2.57","57.54","2,292.50","1,784.35","8.97","4.92"
"LT","1,362.10","1,370.00","1,354.00","1,355.75","-1.20","-0.09","3.81","51.87","1,607.00","1,182.50","-0.03","-1.15"
"ULTRACEMCO","4,135.70","4,184.95","4,118.85","4,125.25","-10.45","-0.25","1.34","55.66","4,904.95","3,260.45","-5.62","-5.58"
"ADANIPORTS","373.10","374.25","370.00","370.60","-1.45","-0.39","4.90","18.24","430.60","292.10","-2.13","-0.87"
"SBIN","286.65","286.65","283.50","284.40","-1.30","-0.46","40.35","114.87","373.80","247.40","-7.66","-17.28"
"IOC","125.90","126.90","124.80","125.15","-0.60","-0.48","17.84","22.46","170.75","105.25","-19.83","-9.48"
"DRREDDY","2,557.50","2,569.00","2,525.00","2,528.10","-12.60","-0.50","1.17","29.75","2,964.00","1,872.95","3.48","-4.74"
"RELIANCE","1,273.75","1,281.00","1,267.00","1,268.50","-6.35","-0.50","13.46","171.50","1,417.50","1,016.40","-1.78","4.75"
"HDFC","2,174.00","2,179.00","2,160.45","2,163.35","-10.95","-0.50","5.04","109.48","2,357.85","1,644.50","12.39","0.67"
"ASIANPAINT","1,599.20","1,606.75","1,590.60","1,591.15","-8.30","-0.52","1.60","25.63","1,609.55","1,118.00","13.67","5.15"
