Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,003.25","11,078.15","10,935.60","11,029.40","103.55","0.95","5,115.43","19,712.49","12,103.05","10,004.55","-3.55","-4.82"
"UPL","510.00","532.70","509.65","526.90","23.80","4.73","53.45","279.84","709.05","388.10","-13.69","-18.61"
"BAJAJFINSV","7,198.00","7,449.90","7,130.05","7,413.00","323.85","4.57","5.47","398.50","8,580.00","4,955.00","4.22","-3.91"
"ZEEL","331.15","346.90","331.15","342.20","14.90","4.55","82.78","282.22","520.00","288.30","-33.42","-0.98"
"TATASTEEL","353.60","370.75","353.40","363.10","14.40","4.13","187.39","681.90","647.60","345.35","-37.28","-22.46"
"VEDL","140.60","148.10","140.60","145.50","5.75","4.11","156.73","228.34","246.90","134.45","-32.36","-12.74"
"YESBANK","74.90","77.90","70.55","76.60","3.00","4.08","1,731.14","1,307.01","404.00","70.55","-79.97","-17.81"
"GRASIM","709.65","744.65","709.00","735.00","25.35","3.57","29.51","215.60","1,093.00","689.10","-25.50","-20.31"
"JSWSTEEL","222.60","229.90","220.75","227.30","7.15","3.25","69.41","156.60","427.55","208.75","-33.36","-16.11"
"HINDALCO","176.60","181.25","176.00","180.45","5.40","3.08","59.65","107.25","259.75","171.60","-18.51","-9.84"
"TECHM","639.05","662.50","638.90","658.75","19.60","3.07","26.27","172.03","846.50","607.15","-2.09","-2.82"
"BPCL","341.00","356.80","341.00","353.05","9.95","2.90","30.13","106.09","421.70","238.55","-6.27","1.63"
"BHARTIARTL","355.00","363.85","347.30","361.00","9.35","2.66","76.70","275.46","378.75","253.99","-1.63","2.97"
"HEROMOTOCO","2,588.95","2,647.70","2,580.00","2,632.45","65.65","2.56","9.98","262.21","3,380.00","2,225.60","-19.41","3.41"
"BAJFINANCE","3,269.95","3,329.90","3,245.00","3,288.30","66.45","2.06","27.70","912.02","3,762.00","1,912.20","16.19","-3.63"
"SBIN","285.05","291.25","284.50","289.00","5.65","1.99","185.24","534.30","373.80","247.40","-2.00","-19.73"
"INDUSINDBK","1,389.00","1,408.80","1,377.10","1,400.10","26.65","1.94","28.23","394.74","2,000.00","1,312.00","-29.91","-5.08"
"M&M","515.90","525.85","502.55","522.00","9.60","1.87","46.41","238.97","993.00","502.55","-45.08","-17.39"
"AXISBANK","652.80","669.45","652.00","660.95","11.50","1.77","71.49","473.75","827.75","534.55","6.94","-11.84"
"BAJAJ-AUTO","2,672.00","2,757.00","2,672.00","2,713.95","43.40","1.63","5.23","142.15","3,149.95","2,420.00","2.55","-0.00"
"ICICIBANK","411.90","422.20","411.25","416.90","6.65","1.62","133.08","556.58","443.90","294.80","25.40","-1.28"
"TITAN","1,054.10","1,090.85","1,051.05","1,080.95","17.10","1.61","18.35","197.29","1,340.90","732.30","16.78","-0.78"
"LT","1,320.00","1,340.95","1,316.00","1,333.55","20.30","1.55","27.98","372.58","1,607.00","1,182.50","6.41","-7.43"
"MARUTI","5,792.00","5,933.40","5,710.00","5,823.00","87.55","1.53","10.31","601.18","9,468.30","5,446.05","-36.24","-4.22"
"INFY","775.10","778.25","768.00","772.80","8.05","1.05","59.41","459.43","804.00","599.85","-45.13","-0.84"
"RELIANCE","1,304.00","1,304.45","1,280.35","1,288.00","13.25","1.04","144.87","1,871.91","1,417.50","1,016.40","6.39","0.93"
"ITC","246.30","253.60","244.05","248.60","2.30","0.93","138.09","344.94","322.95","244.00","-19.26","-8.25"
"CIPLA","477.45","483.25","465.00","479.80","4.05","0.85","23.77","112.88","678.45","465.00","-25.35","-12.85"
