Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"ULTRACEMCO","4,195.00","4,300.00","4,195.00","4,215.60","34.45","0.82","5.78","245.98","4,904.95","3,260.45","-1.94","-8.30"
"POWERGRID","201.05","206.20","197.75","203.55","1.55","0.77","45.14","91.30","216.25","172.50","8.33","-0.68"
"HDFC","2,129.00","2,146.00","2,105.25","2,113.90","13.80","0.66","26.84","570.52","2,357.85","1,644.50","8.88","-6.69"
"INFRATEL","246.70","252.00","246.20","248.20","1.55","0.63","16.85","41.91","335.00","238.70","-12.57","-5.36"
"GAIL","126.70","130.30","126.25","126.65","0.65","0.52","89.14","114.14","199.70","119.60","-66.65","-12.96"
"HDFCBANK","2,235.40","2,235.40","2,203.05","2,227.90","7.55","0.34","35.64","792.29","2,503.30","1,885.00","6.64","-6.97"
"TCS","2,181.10","2,217.85","2,167.40","2,205.30","5.85","0.27","19.45","428.02","2,292.50","1,784.35","10.07","2.78"
"HINDUNILVR","1,826.00","1,854.15","1,808.70","1,828.00","3.25","0.18","19.10","350.28","1,869.50","1,477.20","4.80","6.47"
"IOC","125.90","128.40","124.20","126.00","0.10","0.08","83.02","105.12","170.75","105.25","-21.59","-13.34"
"NTPC","117.25","119.00","116.55","117.20","0.05","0.04","86.42","101.68","146.17","106.67","-25.30","-8.40"
"HCLTECH","1,069.15","1,083.40","1,057.45","1,069.55","-0.95","-0.09","14.02","150.59","1,187.60","920.00","6.99","4.09"
"ASIANPAINT","1,574.50","1,575.50","1,552.50","1,571.00","-2.35","-0.15","11.13","174.37","1,594.00","1,118.00","12.61","16.10"
"EICHERMOT","16,995.00","16,995.00","16,401.15","16,550.00","-95.00","-0.57","2.16","360.46","29,800.00","15,786.00","-42.92","-12.13"
"ADANIPORTS","361.55","363.00","356.60","358.00","-2.55","-0.71","45.07","162.17","430.60","292.10","-4.06","-12.49"
"TATAMOTORS","122.70","123.80","118.60","120.75","-1.20","-0.98","301.36","364.71","282.00","116.50","-51.47","-24.98"
"ONGC","129.00","129.80","125.75","126.25","-1.50","-1.17","144.50","184.05","185.40","125.50","-24.06","-16.22"
"KOTAKBANK","1,515.00","1,515.40","1,479.45","1,492.00","-19.40","-1.28","23.55","351.50","1,555.90","1,002.20","15.39","-1.07"
"BRITANNIA","2,549.70","2,549.70","2,470.00","2,471.00","-40.90","-1.63","4.66","116.30","3,467.18","2,470.00","-61.75","-10.91"
"DRREDDY","2,525.05","2,537.80","2,351.20","2,512.50","-43.85","-1.72","16.09","395.78","2,964.00","1,872.95","10.27","-4.38"
"COALINDIA","208.50","208.50","195.65","199.90","-3.85","-1.89","166.88","335.24","299.75","193.10","-29.28","-13.24"
"WIPRO","259.80","260.10","250.25","251.10","-7.40","-2.86","43.53","109.94","301.60","208.09","-11.91","-3.39"
"IBULHSGFIN","587.00","619.00","542.75","544.65","-28.45","-4.96","314.60","1,804.29","1,310.00","425.50","-57.81","-14.76"
"SUNPHARMA","440.00","441.00","408.05","416.50","-22.75","-5.18","161.73","676.08","679.30","344.55","-30.79","-1.53"

