Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,043.65","11,068.65","10,924.30","11,047.80","18.40","0.17","4,709.09","19,281.67","12,103.05","10,004.55","-3.39","-4.66"
"UPL","526.90","553.25","522.05","551.00","23.80","4.51","88.57","481.69","709.05","388.10","-9.74","-14.89"
"POWERGRID","204.10","214.25","202.30","211.20","6.05","2.95","66.91","139.45","216.25","172.50","12.40","3.05"
"MARUTI","5,805.00","5,995.00","5,590.00","5,970.00","154.00","2.65","12.07","710.45","9,468.30","5,446.05","-34.63","-1.80"
"YESBANK","79.00","81.45","76.85","78.50","1.95","2.55","1,434.79","1,137.36","404.00","70.55","-79.48","-15.77"
"GRASIM","725.10","757.35","719.25","752.60","18.10","2.46","25.43","188.95","1,093.00","689.10","-23.72","-18.40"
"INDUSINDBK","1,380.00","1,445.00","1,375.00","1,435.10","34.25","2.44","31.27","443.36","2,000.00","1,312.00","-28.16","-2.71"
"GAIL","128.70","131.45","124.25","129.55","2.80","2.21","153.25","198.21","199.70","119.60","-65.89","-10.96"
"IBULHSGFIN","521.50","562.50","498.00","561.70","10.35","1.88","358.39","1,877.66","1,310.00","425.50","-56.49","-12.09"
"AXISBANK","664.00","678.00","656.85","675.10","11.90","1.79","70.40","471.50","827.75","534.55","9.23","-9.96"
"ITC","248.75","253.40","247.40","252.65","3.90","1.57","103.37","259.91","322.95","244.00","-17.94","-6.75"
"ASIANPAINT","1,571.00","1,600.85","1,561.00","1,593.05","23.35","1.49","16.82","266.33","1,600.85","1,118.00","14.19","17.73"
"BAJFINANCE","3,280.60","3,358.90","3,253.35","3,335.90","45.95","1.40","17.58","584.86","3,762.00","1,912.20","17.87","-2.23"
"HEROMOTOCO","2,561.55","2,680.00","2,547.05","2,668.15","34.00","1.29","13.74","363.16","3,380.00","2,225.60","-18.31","4.82"
"BAJAJ-AUTO","2,712.05","2,760.00","2,661.35","2,748.20","34.30","1.26","6.00","163.59","3,149.95","2,420.00","3.85","1.26"
"ZEEL","343.70","347.80","336.30","345.55","3.95","1.16","57.20","196.07","519.55","288.30","-32.77","-0.01"
"BRITANNIA","2,500.00","2,505.00","2,442.00","2,499.50","20.60","0.83","7.34","181.69","3,467.18","2,442.00","-61.31","-9.88"
"COALINDIA","200.00","202.85","199.70","202.10","1.60","0.80","125.57","253.06","299.75","193.10","-28.50","-12.28"
"M&M","524.70","531.90","515.55","527.05","3.50","0.67","31.21","164.27","993.00","502.55","-44.55","-16.59"
"KOTAKBANK","1,489.00","1,506.50","1,477.50","1,501.65","9.85","0.66","21.70","324.33","1,555.90","1,002.20","16.14","-0.43"
"BHARTIARTL","360.00","365.00","355.00","363.45","2.25","0.62","57.20","206.08","378.75","253.99","-0.97","3.67"
"ICICIBANK","417.80","420.00","412.10","419.20","1.90","0.46","151.54","630.96","443.90","294.80","26.09","-0.73"
"JSWSTEEL","226.35","228.95","221.60","228.45","0.70","0.31","60.83","137.05","427.55","208.75","-33.03","-15.69"
"NTPC","117.40","119.30","116.60","117.95","0.35","0.30","109.92","129.63","146.17","106.67","-24.82","-7.82"
"SBIN","287.95","292.80","284.30","290.30","0.55","0.19","200.47","578.77","373.80","247.40","-1.56","-19.37"
"BAJAJFINSV","7,391.00","7,575.00","7,283.35","7,428.00","12.80","0.17","4.59","342.21","8,580.00","4,955.00","4.43","-3.71"
"ONGC","127.70","129.10","126.40","127.00","0.15","0.12","120.18","153.38","185.40","125.50","-23.61","-15.73"
"LT","1,335.00","1,339.90","1,320.50","1,335.00","1.30","0.10","26.55","354.16","1,607.00","1,182.50","6.52","-7.33"
"INFRATEL","249.00","251.00","243.50","249.00","0.15","0.06","21.15","52.30","335.00","238.70","-12.29","-5.05"
"INFY","780.00","780.05","762.50","775.00","0.20","0.03","51.28","396.07","804.00","599.85","-44.97","-0.56"
"EICHERMOT","16,600.00","16,720.00","16,183.40","16,580.00","5.35","0.03","1.73","286.56","29,800.00","15,786.00","-42.81","-11.97"
"TECHM","656.90","661.00","646.15","659.05","-0.05","-0.01","30.68","200.22","846.50","607.15","-2.04","-2.78"
"TATAMOTORS","119.90","122.45","117.35","120.65","-0.25","-0.21","352.65","422.19","282.00","116.50","-51.51","-25.04"
"IOC","127.00","127.40","125.25","126.15","-0.30","-0.24","80.56","101.73","170.75","105.25","-21.50","-13.24"
"HDFCBANK","2,214.00","2,233.00","2,204.10","2,223.95","-5.50","-0.25","38.12","847.11","2,503.30","1,885.00","6.45","-7.13"
"CIPLA","477.00","483.40","474.50","477.00","-1.30","-0.27","12.79","61.15","678.45","465.00","-25.79","-13.36"
"ULTRACEMCO","4,226.00","4,244.35","4,198.00","4,203.55","-22.35","-0.53","5.08","214.22","4,904.95","3,260.45","-2.22","-8.56"
"WIPRO","250.00","251.00","245.05","249.60","-1.45","-0.58","49.72","123.54","301.60","208.09","-12.44","-3.96"
