Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"ADANIPORTS","356.05","358.55","350.00","356.55","-2.30","-0.64","44.33","157.72","430.60","292.10","-4.45","-12.85"
"HINDUNILVR","1,838.00","1,847.55","1,816.05","1,826.75","-12.30","-0.67","14.68","269.05","1,869.50","1,477.20","4.73","6.40"
"TATASTEEL","360.00","366.90","355.45","361.90","-2.75","-0.75","119.20","430.41","647.60","345.35","-37.49","-22.72"
"RELIANCE","1,291.20","1,291.80","1,273.00","1,278.50","-9.75","-0.76","100.47","1,286.83","1,417.50","1,016.40","5.61","0.19"
"HINDALCO","179.10","181.50","173.70","179.15","-1.45","-0.80","71.69","127.43","259.75","171.60","-19.10","-10.49"
"DRREDDY","2,529.00","2,529.00","2,465.00","2,491.10","-20.85","-0.83","7.98","198.12","2,964.00","1,872.95","9.33","-5.19"
"TITAN","1,075.00","1,084.30","1,070.20","1,074.65","-9.35","-0.86","13.67","147.27","1,340.90","732.30","16.10","-1.35"
"HDFC","2,160.00","2,162.00","2,092.50","2,099.00","-18.70","-0.88","72.32","1,529.12","2,357.85","1,644.50","8.11","-7.34"
"SUNPHARMA","419.40","421.40","410.00","413.40","-3.75","-0.90","65.36","270.88","679.30","344.55","-31.31","-2.26"
"BPCL","355.50","355.90","346.35","350.45","-4.00","-1.13","25.90","90.99","421.70","238.55","-6.96","0.88"
"HCLTECH","1,076.90","1,076.90","1,050.50","1,061.80","-14.35","-1.33","15.54","165.42","1,187.60","920.00","6.21","3.34"
"VEDL","144.35","145.70","140.95","144.10","-2.45","-1.67","103.74","148.84","246.90","134.45","-33.01","-13.58"
"TCS","2,241.40","2,241.40","2,143.25","2,162.00","-42.40","-1.92","37.56","816.36","2,292.50","1,784.35","7.91","0.76"
